,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,75,CL,1547715600,61,-53.16,-70.91,9.0,10.3
1,Madimba,40,CM,1547712000,69,4.42,9.93,28.0,2.1
2,Okhotsk,20,RU,1547716558,100,59.36,143.24,-22.82,3.49
3,Bluff,0,AU,1547716558,31,-23.58,149.07,31.31,4.81
4,Tasiilaq,92,GL,1547715000,72,65.61,-37.64,-8.0,11.3
5,Langarud,90,IR,1547715600,100,37.2,50.15,10.0,4.1
6,Rikitea,68,PF,1547716559,96,-23.12,-134.97,26.99,4.36
7,Pevek,44,RU,1547716559,88,69.7,170.27,-21.32,5.51
8,Yurginskoye,44,RU,1547716560,88,56.82,67.39,-8.72,3.91
9,Nanortalik,0,GL,1547716560,92,60.14,-45.24,-4.02,3.74
10,Sawankhalok,20,TH,1547712000,52,17.31,99.83,31.0,1.5
11,Maraa,76,BR,1547716320,99,-1.83,-65.37,22.44,1.91
12,Albany,1,US,1547715240,48,42.65,-73.75,-10.6,4.1
13,Cape Town,0,ZA,1547715600,57,-33.93,18.42,24.0,7.2
14,Qaanaaq,8,GL,1547716562,92,77.48,-69.36,-26.77,3.51
15,Mataura,100,NZ,1547716562,91,-46.19,168.86,12.36,2.36
16,Bethel,1,US,1547715360,84,60.79,-161.76,-6.7,4.1
17,Leh,8,IN,1547716563,89,34.16,77.58,-15.47,0.66
18,Avarua,20,CK,1547715600,88,-21.21,-159.78,26.0,2.6
19,Marzuq,0,YE,1547716564,16,14.4,46.47,28.74,1.26
20,Alenquer,20,BR,1547715600,100,-1.95,-54.74,24.0,4.1
21,Progreso,40,UY,1547715600,77,-34.68,-56.22,21.0,7.7
22,Toledo,40,PH,1547712000,66,10.38,123.64,29.0,10.8
23,Port Hardy,75,CA,1547712000,70,50.7,-127.42,7.0,6.2
24,Olga,90,US,1547716260,96,34.11,-118.17,17.2,3.1
25,Banyo,0,CM,1547716566,20,6.75,11.81,28.06,0.56
26,Puerto Escondido,36,MX,1547716566,100,15.86,-97.07,27.61,5.09
27,Abong Mbang,0,CM,1547716567,46,3.98,13.18,27.81,1.34
28,Butaritari,68,KI,1547716567,100,3.07,172.79,28.84,7.19
29,Yellowknife,5,CA,1547712000,66,62.45,-114.38,-35.0,4.1
30,Bredasdorp,20,ZA,1547715600,51,-34.53,20.04,30.0,2.6
31,Barrow,88,AR,1547716568,65,-38.31,-60.23,15.29,5.64
32,Fairbanks,1,US,1547715480,82,64.84,-147.72,-21.1,1.66
33,Anadyr,40,RU,1547712000,76,64.73,177.51,-22.0,7.0
34,Upington,0,ZA,1547715600,17,-28.46,21.24,32.0,2.6
35,Los Llanos de Aridane,40,ES,1547713800,72,28.66,-17.92,16.0,3.6
36,Kapaa,90,US,1547715360,70,22.08,-159.32,24.4,5.7
37,Saskylakh,64,RU,1547716570,83,71.97,114.09,-28.44,3.16
38,Thompson,5,CA,1547712000,74,55.74,-97.86,-32.0,3.6
39,Ushuaia,75,AR,1547715600,75,-54.81,-68.31,6.0,5.56
40,El Retorno,44,CO,1547716571,80,2.33,-72.63,24.21,1.01
41,Manta,0,RO,1547716571,77,45.1,24.1,-0.57,1.21
42,Port Alfred,80,ZA,1547716572,83,-33.59,26.89,24.14,8.24
43,Atuona,88,PF,1547716572,100,-9.8,-139.03,26.34,8.69
44,Hobart,40,AU,1547713800,64,-42.88,147.33,21.0,6.2
45,Hitachi,20,JP,1547712000,39,36.6,140.65,8.0,3.1
46,Arraial do Cabo,0,BR,1547715600,94,-22.97,-42.02,24.0,2.6
47,Hambantota,20,LK,1547712600,62,6.12,81.12,31.0,6.7
48,Devrek,75,TR,1547715000,86,41.22,31.96,4.0,2.1
49,Aranos,0,NA,1547716574,21,-24.14,19.11,33.79,0.81
50,Sao Benedito do Rio Preto,20,BR,1547716574,95,-3.33,-43.53,21.21,1.16
51,Longyearbyen,40,NO,1547715000,71,78.22,15.63,-14.0,7.7
52,Cidreira,92,BR,1547716575,94,-30.17,-50.22,24.36,1.46
53,Ponta do Sol,8,BR,1547716576,92,-20.63,-46.0,17.31,1.06
54,Kamsack,90,CA,1547712000,77,51.56,-101.9,-19.0,3.6
55,Fallon,90,US,1547715360,95,46.84,-105.12,-5.0,3.1
56,Ciudad Bolivar,56,VE,1547716577,74,8.12,-63.55,25.21,5.26
57,Nikolskoye,90,RU,1547713800,92,59.7,30.79,-5.0,6.0
58,Yulara,80,AU,1547712000,9,-25.24,130.99,44.0,5.1
59,Tzaneen,0,ZA,1547713800,60,-23.83,30.16,23.0,3.1
60,Cabo San Lucas,44,MX,1547716578,100,22.89,-109.91,21.96,3.69
61,Mazatlan,40,MX,1547714700,93,23.22,-106.42,16.0,1.11
62,Coahuayana,24,MX,1547716579,84,18.62,-100.35,13.96,0.71
63,Sokoni,68,CD,1547716580,88,-12.89,28.78,23.39,2.11
64,Kursavka,12,RU,1547713800,43,44.46,42.51,2.0,3.0
65,Saldanha,92,PT,1547716580,94,41.42,-6.55,0.89,1.26
66,Severo-Kurilsk,56,RU,1547716580,100,50.68,156.12,-5.67,1.39
67,Chokurdakh,8,RU,1547716581,0,70.62,147.9,-47.32,1.29
68,Hilo,75,US,1547715180,87,19.71,-155.08,20.0,2.1
69,Vaini,0,IN,1547712000,23,15.34,74.49,30.0,5.1
70,Requena,75,ES,1547713800,87,39.49,-1.1,6.0,2.6
71,Aklavik,75,CA,1547712000,70,68.22,-135.01,-21.0,5.1
72,Shasta Lake,90,US,1547715300,100,40.68,-122.36,12.2,2.69
73,Novo Aripuana,32,BR,1547716320,99,-5.12,-60.38,23.14,1.11
74,Airai,88,TL,1547716583,93,-8.93,125.41,22.64,0.81
75,Indramayu,76,ID,1547716583,58,-4.05,103.78,28.11,0.16
76,Busselton,0,AU,1547716583,93,-33.64,115.35,21.64,7.29
77,Petropavlovsk-Kamchatskiy,40,RU,1547715600,62,53.05,158.65,-6.0,7.0
78,Bani,8,PH,1547716584,62,15.89,120.27,28.31,4.49
79,Yar-Sale,88,RU,1547716584,95,66.83,70.83,-11.44,9.86
80,Kaitangata,92,NZ,1547716584,100,-46.28,169.85,11.24,2.56
81,Haines Junction,80,CA,1547716585,81,60.75,-137.51,-12.77,0.84
82,Muroto,20,JP,1547715600,36,33.37,134.14,8.0,4.1
83,Muscat,0,OM,1547715000,69,23.6,58.55,26.0,4.6
84,San Pedro,64,AR,1547716587,87,-33.68,-59.66,19.94,8.81
85,Prado,88,BR,1547716321,96,-17.34,-39.22,27.04,5.64
86,Chuy,0,UY,1547716351,94,-33.69,-53.46,18.24,2.96
87,Castro,0,CL,1547715600,87,-42.48,-73.76,6.0,2.1
88,Rapid City,90,US,1547715360,100,44.08,-103.23,-3.9,1.39
89,Tuktoyaktuk,0,CA,1547716589,100,69.44,-133.03,-19.19,10.69
90,Provideniya,92,RU,1547716589,100,64.42,-173.23,-8.19,7.69
91,Abha,0,SA,1547715600,37,18.22,42.5,25.0,8.7
92,Georgetown,20,GY,1547712000,94,6.8,-58.16,23.0,2.26
93,Ahipara,0,NZ,1547716590,90,-35.17,173.16,18.46,5.16
94,Kidal,0,ML,1547716591,22,18.44,1.41,20.31,2.11
95,Puerto Ayora,92,EC,1547716591,100,-0.74,-90.35,23.21,1.74
96,Iqaluit,40,CA,1547712000,75,63.75,-68.52,-28.0,2.6
97,Mar del Plata,32,AR,1547716592,100,-46.43,-67.52,8.14,1.96
98,Esperance,75,TT,1547715600,94,10.24,-61.45,24.0,3.1
99,Tinqueux,90,FR,1547713800,81,49.25,3.99,6.0,6.2
100,Honiton,20,GB,1547715000,80,50.8,-3.19,4.0,5.1
101,Adrar,0,DZ,1547712000,37,27.87,-0.29,3.0,3.1
102,Samarai,8,PG,1547716594,100,-10.62,150.67,28.14,4.06
103,Thakurgaon,0,BD,1547716594,55,26.02,88.47,25.56,1.89
104,Saint-Philippe,1,CA,1547714100,75,45.36,-73.48,-18.0,2.96
105,Mount Isa,40,AU,1547713800,16,-20.73,139.49,40.0,7.7
106,Praya,75,ID,1547713800,94,-8.71,116.27,27.0,2.59
107,Brae,20,GB,1547715000,60,60.4,-1.35,4.0,11.3
